3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,0 0.0 0.04 0.0 0.9791666666666666 0.9791666666666666 0.9795918367346939 0.9767441860465116 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9864864864864865 0.9864864864864865 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9701492537313433 0.9701492537313433 0.9859154929577465 0.9859154929577465 0.9701492537313433 0.9701492537313433 0.9817073170731707 0.9833333333333333 0.9936708860759493 0.9925925925925926
6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,0 0 0.04 0.0 0.9791666666666666 0.9791666666666666 0.9795918367346939 0.9767441860465116 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9864864864864865 0.9864864864864865 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9701492537313433 0.9701492537313433 0.9859154929577465 0.9859154929577465 0.9701492537313433 0.9701492537313433 0.9817073170731707 0.9833333333333333 0.9936708860759493 0.9925925925925926
10 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,0 0 0 0.04 0.9791666666666666 0.9791666666666666 0.9795918367346939 0.9767441860465116 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9864864864864865 0.9864864864864865 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9701492537313433 0.9701492537313433 0.9859154929577465 0.9859154929577465 0.9701492537313433 0.9701492537313433 0.9817073170731707 0.9833333333333333 0.9936708860759493 0.9925925925925926
30 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,1,0 0 0 0 0.9791666666666666 0.9791666666666666 0.9795918367346939 0.9767441860465116 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9864864864864865 0.9864864864864865 0.9864864864864865 0.9871794871794872 0.9871794871794872 0.9864864864864865 0.9871794871794872 0.9701492537313433 0.9701492537313433 0.9859154929577465 0.9859154929577465 0.9701492537313433 0.9701492537313433 0.9817073170731707 0.9833333333333333 0.9936708860759493 0.9925925925925926
13 0 0 0 0 0 1 1 0 0 10 0 0 0 0 0 2 0 0 0 4 0 18 0 0 0 6 0 1 0 0 1 0 0 3 1 0 0 0 0 6 35 2 0 0 0 0 0 0 0 0 1 0 0 224 12 0 0 568 0 0 2 1 0 0 3 12 0 0 0 0 0 0 3 8 0 4 0 0 0 62 0 0 4 0 0 0 179 0 1 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0 0 12 1 0 0 0 4 0 1 2 0 0 41 0 0 0 64 22 0 0 0 0 142 0 0 68 0 0 2 0 8 0 12 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 75 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 24 0 0 0 2 0 0 0 1 0 1 0 0 6 9 0 0 0 0 0 0 0 3 3 0 0 1 0 0 0 1 64 1 1 0 0 0 0 0 95 0 0 0 0 0 1 0 0 0 0 0 114 0 0 0 1 0 6 0 1 3 0 0 7 1 10 19 0 0 20 0 0 0 0 0 0 0 0 12 0 18 0 0 2 0 0 0 355 0 67 0 0 0 0 0 0 18 77 0 176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 6 0 0 0 0 0,2,0 0 0 0 0 0.044444444444444446 0.3118279569892473 0.45054945054945056 0.723404255319149 0.6774193548387096 0.6774193548387096 0.723404255319149 0.6774193548387096 0.6774193548387096 0.7127659574468085 0.6774193548387096 0.723404255319149 0.723404255319149 0.723404255319149 0.6774193548387096 0.6774193548387096 0.723404255319149 0.6774193548387096 0.7032967032967034 0.7362637362637363 0.6555555555555556 0.6666666666666666 0.7032967032967034 0.7032967032967034 0.8888888888888888 0.9139784946236559 0.9041916167664671 0.9681528662420382
21 0 0 0 0 0 1 1 0 0 10 0 0 0 0 0 2 0 0 0 4 0 18 0 0 0 6 0 1 0 0 1 0 0 3 1 0 0 0 0 6 35 2 0 0 0 0 0 0 0 0 1 0 0 224 12 0 0 570 0 0 2 1 0 0 3 12 0 0 0 0 0 0 3 8 0 4 0 0 0 62 0 0 4 0 0 0 179 0 1 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0 0 12 1 0 0 0 4 0 1 2 0 0 41 0 0 0 64 22 0 0 0 0 143 0 0 68 0 0 2 0 8 0 12 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 75 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 24 0 0 0 2 0 0 0 1 0 1 0 0 6 9 0 0 0 0 0 0 0 3 3 0 0 1 0 0 0 1 64 1 1 0 0 0 0 0 95 0 0 0 0 0 1 0 0 0 0 0 114 0 0 0 1 0 6 0 1 3 0 0 7 1 10 19 0 0 20 0 0 0 0 0 0 0 0 12 0 18 0 0 2 0 0 0 355 0 63 0 0 0 0 0 0 18 77 0 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 6 0 0 0 0 0,2,0 0 0 0 0 0 0.3010752688172043 0.45054945054945056 0.723404255319149 0.6774193548387096 0.6774193548387096 0.723404255319149 0.6774193548387096 0.6774193548387096 0.723404255319149 0.6774193548387096 0.723404255319149 0.723404255319149 0.723404255319149 0.6774193548387096 0.6774193548387096 0.723404255319149 0.6774193548387096 0.7032967032967034 0.7362637362637363 0.6555555555555556 0.6666666666666666 0.7032967032967034 0.7032967032967034 0.8888888888888888 0.9139784946236559 0.9041916167664671 0.9681528662420382
25 3 0 0 0 0 1 1 2 0 10 0 0 0 0 0 2 0 0 0 4 0 46 0 0 0 6 0 1 0 0 1 0 0 3 168 0 0 0 0 6 33 2 0 0 0 0 0 0 0 0 1 0 0 272 12 0 0 573 0 0 3 1 0 0 3 12 0 0 0 0 0 0 3 18 0 4 0 0 0 62 0 0 4 0 0 0 179 0 1 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0 0 12 1 0 0 0 4 0 1 7 0 0 43 0 0 0 64 22 0 0 0 0 143 0 0 69 0 0 2 0 8 0 12 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 76 0 2 6 0 0 0 0 2 0 2 0 0 0 0 0 0 0 25 0 0 0 2 0 0 0 1 0 1 0 0 6 9 0 0 0 0 0 0 0 3 3 0 0 1 0 0 0 5 78 2 1 0 0 0 0 0 95 0 0 0 0 0 1 0 0 0 0 0 111 0 0 0 1 0 6 0 1 3 0 0 7 1 11 19 0 0 20 0 0 0 0 0 0 0 0 22 0 25 0 0 2 0 0 0 384 0 52 0 0 0 0 0 0 17 96 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 3 0 6 0 0 0 0 0,2,0 0 0 0 0 0 0 0.5319148936170213 0.6276595744680851 0.5806451612903226 0.5806451612903226 0.6276595744680851 0.5806451612903226 0.5806451612903226 0.6276595744680851 0.5806451612903226 0.6276595744680851 0.6276595744680851 0.6276595744680851 0.5806451612903226 0.5806451612903226 0.6170212765957447 0.5806451612903226 0.7659574468085106 0.7872340425531915 0.7204301075268817 0.7311827956989247 0.7659574468085106 0.7659574468085106 0.9011627906976745 0.9358288770053476 0.9166666666666666 0.9622641509433962
24 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 4 0 11 0 0 0 6 0 1 0 0 0 0 0 3 0 0 0 0 0 12 65 2 0 0 0 0 0 0 0 0 7 0 0 274 13 0 0 574 0 0 2 1 0 0 3 20 0 0 0 0 0 0 3 8 0 4 0 0 0 58 0 0 8 0 0 0 178 0 0 6 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 13 0 0 0 0 3 0 1 2 0 0 41 0 0 0 64 22 0 2 0 0 144 0 0 69 0 0 0 0 8 0 12 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 74 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 24 0 0 0 2 0 0 0 1 0 1 0 0 6 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 102 3 1 0 0 0 0 0 98 0 0 0 0 0 1 0 0 0 0 0 135 0 0 0 1 0 6 0 1 3 0 0 7 1 10 19 0 0 20 0 0 0 0 0 0 0 0 12 0 18 0 0 2 0 0 0 732 0 86 0 0 0 0 0 0 17 123 0 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 6 0 6 0 0 0 0 0,3,0 0 0 0 0 0 0 0 0.7159090909090909 0.6818181818181818 0.6818181818181818 0.7159090909090909 0.6818181818181818 0.6818181818181818 0.7159090909090909 0.6818181818181818 0.7159090909090909 0.7159090909090909 0.7159090909090909 0.6818181818181818 0.6818181818181818 0.7159090909090909 0.6818181818181818 0.6341463414634146 0.6707317073170732 0.5975609756097561 0.6097560975609756 0.6341463414634146 0.6341463414634146 0.935672514619883 0.9243243243243243 0.9281437125748503 0.9673202614379085
1 3 0 0 0 0 1 1 2 0 0 0 0 0 0 0 2 0 0 0 4 0 37 0 0 0 2 0 0 0 0 0 0 0 0 168 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 121 13 0 0 213 0 0 3 1 0 0 2 0 0 0 0 0 0 0 0 18 0 4 0 0 0 46 0 0 0 0 0 0 178 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 13 0 0 0 0 3 0 0 5 0 0 27 0 0 0 64 22 0 0 0 0 64 0 0 32 0 0 2 0 6 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 69 0 0 6 0 0 0 0 0 0 2 0 0 0 0 0 0 0 27 0 0 0 2 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 19 2 1 0 0 0 0 0 90 0 0 0 0 0 1 0 0 0 0 0 106 0 0 0 1 0 0 0 0 3 0 0 7 1 11 19 0 0 14 0 0 1 0 0 0 0 0 13 0 25 0 0 2 0 0 0 38 0 45 0 0 0 0 0 0 18 23 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 3 0 0 0 0 0 0 0,4,0 0 0 0 0 0 0 0 0 0.3561643835616438 0.3561643835616438 0.058823529411764705 0.3561643835616438 0.3561643835616438 0.058823529411764705 0.3561643835616438 0.058823529411764705 0.058823529411764705 0.029411764705882353 0.3561643835616438 0.3561643835616438 0.058823529411764705 0.3561643835616438 0.5147058823529411 0.5735294117647058 0.6301369863013698 0.6301369863013698 0.5147058823529411 0.5147058823529411 0.9404761904761905 0.9565217391304348 0.9570552147239264 0.96
2 3 0 0 0 0 1 1 2 0 0 0 0 0 0 0 2 0 0 0 4 0 43 0 0 0 4 0 0 0 0 0 0 0 3 168 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 174 13 0 0 333 0 0 3 1 0 0 2 0 0 0 0 0 0 0 3 18 0 4 0 0 0 46 0 0 0 0 0 0 178 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 13 0 0 0 0 3 0 0 5 0 0 28 0 0 0 64 22 0 0 0 0 134 0 0 34 0 0 2 0 10 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 71 0 0 6 0 0 0 0 0 0 2 0 0 0 0 0 0 0 27 0 0 0 2 0 0 0 1 0 1 0 0 0 7 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 29 2 1 0 0 0 0 0 91 0 0 0 0 0 1 0 0 0 0 0 105 0 0 0 1 0 0 0 0 3 0 0 7 1 11 19 0 0 19 0 0 0 0 0 0 0 0 13 0 25 0 0 2 0 0 0 54 0 54 0 0 0 0 0 0 18 36 0 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 3 0 0 0 0 0 0 0,4,0 0 0 0 0 0 0 0 0 0 0.05555555555555555 0.3561643835616438 0.041666666666666664 0.041666666666666664 0.3561643835616438 0.05555555555555555 0.3561643835616438 0.3561643835616438 0.3561643835616438 0.05555555555555555 0.06944444444444445 0.3561643835616438 0.041666666666666664 0.6164383561643836 0.684931506849315 0.4861111111111111 0.5 0.6164383561643836 0.6164383561643836 0.9464285714285714 0.9510869565217391 0.9447852760736196 0.9668874172185431
