label, NtQueryAttributesFile, DnsQuery_W, sendto, SendNotifyMessageA, CreateServiceW, NtCreateThreadEx, CryptHashData, CryptExportKey, CopyFileW, NtReadVirtualMemory, CreateServiceA, bind, DnsQuery_A, ControlService, ObtainUserAgentString, NtQuerySystemInformation, GetFileVersionInfoExW, NtGetContextThread, GetFileVersionInfoSizeW, GetSystemDirectoryW, RtlDecompressBuffer, NtOpenKey, GlobalMemoryStatus, Process32FirstW, GetCursorPos, CreateThread, CreateDirectoryExW, getaddrinfo, HttpOpenRequestW, recvfrom, ShellExecuteExW, CWindow_AddTimeoutCode, GetSystemDirectoryA, NtTerminateProcess, LoadStringW, SendNotifyMessageW, Module32NextW, accept, CreateDirectoryW, GetAdaptersAddresses, NtDeviceIoControlFile, CreateActCtxW, HttpOpenRequestA, NtQueryFullAttributesFile, InternetReadFile, DeleteUrlCacheEntryA, NtWriteFile, LookupAccountSidW, SetFileInformationByHandle, NetShareEnum, CryptEncrypt, EnumServicesStatusA, CDocument_write, NtClose, NtCreateSection, GetSystemWindowsDirectoryA, DrawTextExW, LdrGetProcedureAddress, CryptProtectData, connect, SHGetFolderPathW, RtlAddVectoredContinueHandler, RegEnumValueA, NtDeleteKey, GetSystemWindowsDirectoryW, NtCreateKey, NetGetJoinInformation, __anomaly__, GetKeyboardState, InternetGetConnectedState, InternetSetOptionA, WSASendTo, DeleteFileW, GetFileAttributesW, GetFileVersionInfoSizeExW, RegEnumValueW, CopyFileA, InternetOpenUrlW, AssignProcessToJobObject, SetErrorMode, PRF, InternetCrackUrlA, GetBestInterfaceEx, InternetOpenA, SHGetSpecialFolderLocation, NtSetContextThread, RegQueryValueExW, OpenServiceW, GetNativeSystemInfo, GlobalMemoryStatusEx, SetStdHandle, getsockname, GetDiskFreeSpaceW, CryptUnprotectMemory, SetFilePointerEx, IWbemServices_ExecQuery, RegDeleteKeyA, WSAStartup, RegQueryValueExA, GetAddrInfoW, CertControlStore, InternetOpenUrlA, InternetOpenW, GetKeyState, SetFilePointer, RegDeleteKeyW, MoveFileWithProgressW, GetAsyncKeyState, DrawTextExA, CopyFileExW, GetVolumePathNamesForVolumeNameW, CoInitializeEx, GetUserNameExA, LoadStringA, NtMapViewOfSection, CreateProcessInternalW, NtDeleteValueKey, ReadCabinetState, NtLoadDriver, NtResumeThread, timeGetTime, LoadResource, NtEnumerateValueKey, ExitWindowsEx, GetUserNameExW, GetSystemTimeAsFileTime, CoCreateInstanceEx, Process32NextW, InternetCrackUrlW, NtProtectVirtualMemory, RegEnumKeyExW, NtShutdownSystem, GetAdaptersInfo, OpenServiceA, RtlCreateUserThread, LdrGetDllHandle, RtlDecompressFragment, SetFileTime, LdrLoadDll, GetSystemMetrics, CoCreateInstance, CryptCreateHash, NtLoadKey, NtUnmapViewOfSection, NtSuspendThread, LdrUnloadDll, RegEnumKeyExA, InternetCloseHandle, NtOpenSection, GetFileVersionInfoW, RegDeleteValueA, FindFirstFileExA, select, GetTempPathW, RtlCompressBuffer, NtOpenDirectoryObject, NtQueueApcThread, GetUserNameA, WriteConsoleW, UuidCreate, DeviceIoControl, InternetConnectW, RegSetValueExA, GetDiskFreeSpaceExW, RegCloseKey, WriteConsoleA, NtOpenThread, NtEnumerateKey, COleScript_Compile, RegEnumKeyW, DecryptMessage, EnumWindows, ioctlsocket, TaskDialog, NtOpenMutant, Math_random, InternetSetStatusCallback, RegDeleteValueW, FindWindowExA, ReadProcessMemory, CryptDecodeObjectEx, FindWindowExW, NtCreateFile, UnhookWindowsHookEx, InternetConnectA, Thread32First, GetFileType, IWbemServices_ExecMethod, LookupPrivilegeValueW, SetEndOfFile, GetComputerNameW, RtlRemoveVectoredContinueHandler, CoInitializeSecurity, CertOpenSystemStoreA, InternetWriteFile, setsockopt, NtDuplicateObject, CryptProtectMemory, MessageBoxTimeoutA, MessageBoxTimeoutW, CertCreateCertificateContext, NtQueryMultipleValueKey, NetUserGetLocalGroups, GetComputerNameA, NtOpenProcess, GetVolumeNameForVolumeMountPointW, gethostbyname, CElement_put_innerHTML, RegSetValueExW, NtSaveKey, SetInformationJobObject, CertOpenSystemStoreW, NtDelayExecution, NtOpenKeyEx, CryptDecrypt, RtlAddVectoredExceptionHandler, EncryptMessage, CryptGenKey, InternetQueryOptionA, ActiveXObjectFncObj_Construct, WSAConnect, GetSystemInfo, RegQueryInfoKeyA, SearchPathW, WriteProcessMemory, OpenSCManagerA, Thread32Next, RegCreateKeyExW, SetFileAttributesW, CoGetClassObject, NtWriteVirtualMemory, listen, WSASocketA, RegOpenKeyExW, RemoveDirectoryW, FindWindowA, WSASend, GetShortPathNameW, InternetGetConnectedStateExW, WSASocketW, NtQueryInformationFile, CoUninitialize, RegQueryInfoKeyW, CryptAcquireContextA, CreateJobObjectW, GetFileSize, IsDebuggerPresent, GetFileAttributesExW, NtQueryDirectoryFile, CreateToolhelp32Snapshot, InternetGetConnectedStateExA, NtCreateMutant, CertOpenStore, URLDownloadToFileW, __exception__, NetUserGetInfo, NtSetInformationFile, GetFileSizeEx, OpenSCManagerW, SetWindowsHookExA, NtSetValueKey, RtlRemoveVectoredExceptionHandler, NtReadFile, GetForegroundWindow, send, RegOpenKeyExA, shutdown, EnumServicesStatusW, FindResourceExA, NtQueryValueKey, StartServiceW, NtFreeVirtualMemory, DeleteService, CreateRemoteThread, NtTerminateThread, HttpSendRequestA, GetVolumePathNameW, SizeofResource, NtOpenFile, NtQueryKey, OutputDebugStringA, NtAllocateVirtualMemory, HttpSendRequestW, HttpQueryInfoA, recv, FindResourceW, DeleteUrlCacheEntryW, GetFileInformationByHandle, FindResourceExW, SetWindowsHookExW, WSARecvFrom, Module32FirstW, OleInitialize, RegCreateKeyExA, RemoveDirectoryA, FindWindowW, FindFirstFileExW, StartServiceA, GetTimeZoneInformation, SetUnhandledExceptionFilter, WSARecv, CryptAcquireContextW, GetUserNameW, closesocket, NtDeleteFile, RegisterHotKey, socket, GetFileInformationByHandleEx, FindResourceA
0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 5, 0, 0, 0, 1, 0, 0, 1, 3, 0, 105, 0, 2, 654, 5, 0, 4, 0, 0, 0, 0, 0, 0, 21, 2, 67, 0, 1, 2, 10, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 378, 27, 0, 28, 1049, 0, 0, 5, 0, 13, 0, 9, 1, 0, 0, 1, 0, 0, 0, 0, 35, 0, 12, 0, 0, 0, 44, 0, 0, 0, 0, 1, 0, 2535, 0, 3, 1, 0, 5, 0, 0, 1, 0, 0, 5, 172, 0, 0, 0, 0, 325, 142, 1, 0, 0, 290, 0, 8, 68, 0, 120, 39, 0, 0, 0, 0, 1, 0, 70, 2, 0, 0, 102, 4, 69, 0, 5, 81, 0, 2, 0, 0, 782, 0, 3, 56, 509, 30, 0, 0, 28, 0, 4, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 2, 0, 0, 3, 962, 0, 0, 5, 0, 137, 0, 2, 0, 0, 5, 0, 0, 8, 0, 5, 0, 0, 97, 2, 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 0, 5, 15, 0, 0, 0, 0, 0, 0, 0, 39, 3, 4, 0, 5, 0, 0, 0, 501, 318, 0, 0, 0, 0, 0, 0, 0, 7, 31, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 1139, 0, 0, 0, 5, 0, 0, 6, 63, 7, 0, 0, 10, 4, 7, 117, 37, 0, 12, 0, 0, 51, 0, 0, 13, 0, 0, 12, 0, 118, 581, 0, 142, 4, 0, 0, 63, 0, 125, 0, 0, 0, 0, 0, 3, 7, 6, 0, 167, 0, 0, 0, 3, 0, 1, 68, 4, 0, 6, 0, 3, 0, 3, 17, 0, 0, 0, 0, 1, 2, 4, 0, 0, 5, 12, 2
1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 0, 40, 0, 2, 63, 1, 0, 16, 0, 0, 0, 0, 0, 0, 1, 4, 74, 0, 1, 2, 21, 3, 0, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 551, 8, 0, 20, 85, 0, 0, 8, 0, 13, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 16, 0, 12, 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 425, 0, 2, 1, 0, 16, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 538, 142, 1, 0, 0, 285, 0, 8, 103, 0, 144, 8, 0, 0, 0, 0, 1, 0, 8, 2, 0, 0, 276, 4, 69, 0, 5, 81, 0, 2, 0, 0, 3, 0, 3, 5, 1136, 30, 0, 0, 4, 0, 7, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 1, 0, 0, 1, 423, 0, 0, 5, 0, 9, 0, 2, 0, 0, 2, 0, 0, 8, 0, 5, 0, 0, 116, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 16, 11, 0, 0, 0, 0, 0, 0, 0, 23, 3, 4, 0, 5, 0, 0, 0, 249, 300, 0, 0, 0, 0, 0, 0, 0, 7, 33, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 441, 0, 0, 0, 4, 0, 0, 3, 105, 7, 0, 0, 28, 12, 7, 88, 37, 0, 15, 0, 0, 63, 0, 0, 18, 0, 0, 12, 0, 22, 548, 0, 141, 16, 0, 0, 589, 0, 269, 0, 0, 0, 0, 0, 4, 16, 431, 0, 1, 0, 0, 0, 6, 0, 1, 2, 4, 0, 6, 0, 5, 0, 3, 17, 0, 0, 0, 0, 1, 2, 16, 0, 0, 16, 26, 2
2, 9, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 16, 0, 0, 0, 0, 0, 0, 1, 2, 0, 103, 0, 2, 360, 5, 0, 16, 0, 0, 0, 0, 0, 0, 20, 2, 74, 0, 1, 2, 20, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 377, 27, 0, 27, 714, 0, 0, 5, 0, 13, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 35, 0, 12, 0, 0, 0, 44, 0, 0, 0, 0, 1, 0, 2532, 0, 2, 1, 0, 16, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 735, 142, 1, 0, 0, 114, 0, 8, 88, 0, 144, 39, 0, 0, 0, 0, 1, 0, 70, 2, 0, 0, 102, 4, 69, 0, 5, 81, 0, 2, 0, 0, 447, 0, 3, 55, 509, 30, 0, 0, 28, 0, 4, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 2, 0, 0, 3, 953, 0, 0, 5, 0, 135, 0, 6, 0, 0, 5, 0, 0, 8, 0, 5, 0, 0, 97, 2, 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 0, 16, 15, 0, 0, 0, 0, 0, 0, 0, 39, 4, 4, 0, 5, 0, 0, 0, 159, 322, 0, 0, 0, 0, 0, 0, 0, 7, 33, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 1132, 0, 0, 0, 4, 0, 0, 6, 84, 7, 0, 0, 10, 12, 7, 117, 37, 0, 10, 0, 0, 41, 0, 0, 13, 0, 0, 12, 0, 118, 549, 0, 141, 16, 0, 0, 109, 0, 273, 0, 0, 0, 0, 0, 3, 7, 6, 0, 327, 0, 0, 0, 3, 0, 1, 68, 4, 0, 6, 0, 5, 0, 3, 17, 0, 0, 0, 0, 1, 2, 16, 0, 0, 16, 12, 2
3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 42, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 3, 8, 0, 0, 0, 14, 2, 27, 1, 2, 0, 1, 0, 13, 0, 0, 0, 0, 0, 0, 424, 8, 0, 19, 306, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 0, 6, 171, 0, 0, 0, 0, 0, 13, 0, 2, 0, 2, 0, 0, 2349, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 8, 19, 0, 0, 12, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 82, 0, 0, 0, 2, 191, 0, 0, 2, 0, 87, 0, 1, 50, 101, 6, 0, 0, 15, 0, 15, 0, 6, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 603, 0, 2, 0, 0, 111, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 220, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 14, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2, 0, 6, 3, 0, 0, 0, 0, 718, 0, 0, 0, 0, 0, 0, 3, 19, 0, 0, 0, 1, 0, 0, 113, 0, 0, 4, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 188, 5, 0, 10, 0, 0, 2, 12, 0, 6, 0, 0, 0, 2, 0, 0, 3, 2, 0, 77, 0, 3, 0, 0, 0, 0, 17, 0, 0, 0, 2, 4, 1, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0
4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 42, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 3, 8, 0, 0, 0, 9, 2, 13, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 338, 8, 0, 20, 232, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 0, 7, 16, 0, 0, 0, 0, 0, 13, 0, 3, 0, 3, 0, 0, 2347, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 8, 19, 0, 0, 12, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 82, 0, 0, 0, 0, 191, 0, 0, 2, 0, 16, 0, 0, 51, 105, 6, 0, 0, 15, 0, 16, 0, 9, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 13, 0, 604, 0, 2, 0, 0, 111, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 73, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 14, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 2, 0, 8, 2, 0, 0, 0, 0, 716, 0, 0, 0, 0, 0, 0, 3, 18, 0, 0, 0, 1, 0, 0, 113, 0, 0, 3, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 220, 6, 0, 9, 0, 0, 3, 12, 0, 12, 0, 0, 0, 3, 0, 0, 2, 2, 0, 20, 0, 3, 0, 0, 0, 0, 17, 0, 0, 0, 1, 4, 1, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0
6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 40, 0, 0, 0, 2, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 9, 2, 13, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 300, 7, 0, 1, 203, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0, 5, 14, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2282, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 24, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 8, 18, 0, 0, 9, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 82, 0, 0, 1, 0, 0, 0, 0, 2, 0, 14, 0, 0, 41, 23, 6, 0, 0, 11, 0, 13, 0, 3, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 13, 0, 428, 0, 2, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 14, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 8, 2, 0, 0, 0, 0, 526, 1, 0, 0, 0, 0, 0, 3, 18, 0, 0, 0, 1, 0, 0, 113, 0, 0, 3, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 132, 1, 0, 9, 0, 0, 0, 12, 0, 57, 0, 0, 0, 0, 0, 0, 2, 2, 0, 47, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 2, 4, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0
7, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 1, 0, 40, 0, 2, 64, 1, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 74, 0, 1, 2, 10, 3, 0, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 577, 8, 0, 20, 85, 0, 2, 8, 0, 13, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 12, 0, 12, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 425, 0, 2, 1, 0, 6, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 495, 142, 1, 0, 0, 294, 0, 8, 104, 0, 122, 8, 0, 0, 0, 0, 1, 0, 8, 2, 0, 0, 291, 4, 77, 0, 5, 81, 0, 2, 0, 0, 3, 0, 3, 5, 962, 32, 0, 0, 4, 0, 6, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 2, 0, 0, 1, 423, 0, 0, 5, 0, 9, 0, 7, 0, 0, 2, 0, 0, 8, 0, 5, 0, 0, 125, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 6, 11, 0, 0, 0, 0, 0, 0, 0, 19, 3, 4, 0, 5, 0, 0, 0, 253, 312, 0, 0, 0, 0, 0, 0, 0, 7, 31, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 441, 0, 0, 0, 4, 0, 0, 3, 105, 7, 0, 0, 28, 4, 7, 89, 41, 0, 15, 0, 0, 52, 0, 0, 18, 0, 0, 12, 0, 22, 576, 0, 141, 5, 0, 0, 608, 0, 148, 0, 0, 0, 0, 0, 4, 8, 459, 0, 1, 0, 0, 0, 6, 0, 1, 2, 4, 0, 6, 0, 3, 0, 3, 17, 0, 0, 0, 0, 1, 2, 5, 0, 0, 6, 26, 2
8, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 40, 0, 2, 59, 1, 0, 4, 0, 0, 0, 0, 0, 0, 1, 4, 69, 0, 1, 2, 9, 3, 0, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 564, 8, 0, 20, 85, 0, 0, 8, 0, 13, 0, 9, 1, 0, 0, 1, 0, 0, 0, 0, 13, 0, 12, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 425, 0, 3, 1, 0, 4, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 427, 142, 1, 0, 0, 296, 0, 8, 106, 0, 135, 8, 0, 0, 0, 0, 1, 0, 8, 2, 0, 0, 283, 4, 69, 0, 7, 81, 0, 2, 0, 0, 3, 0, 3, 5, 743, 26, 0, 0, 4, 0, 6, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 1, 0, 0, 1, 423, 0, 0, 5, 0, 9, 0, 5, 0, 0, 2, 0, 0, 8, 0, 5, 0, 0, 122, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 4, 11, 0, 0, 0, 0, 0, 0, 0, 19, 3, 4, 0, 5, 0, 0, 0, 245, 308, 0, 0, 0, 0, 0, 0, 0, 7, 30, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 441, 0, 0, 0, 4, 0, 0, 3, 107, 7, 0, 0, 28, 3, 7, 86, 37, 0, 15, 0, 0, 51, 0, 0, 18, 0, 0, 12, 0, 22, 562, 0, 141, 4, 0, 0, 568, 0, 96, 0, 0, 0, 0, 0, 4, 8, 455, 0, 8, 0, 0, 0, 6, 0, 1, 2, 4, 0, 6, 0, 2, 0, 2, 23, 0, 0, 0, 0, 1, 2, 4, 0, 0, 4, 26, 2
9, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 2, 0, 40, 0, 2, 53, 1, 0, 16, 0, 0, 0, 0, 0, 0, 1, 4, 74, 0, 0, 2, 21, 2, 0, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 541, 2, 0, 10, 35, 0, 0, 7, 0, 13, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 425, 0, 2, 1, 0, 16, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 418, 142, 1, 0, 0, 292, 0, 8, 106, 0, 144, 2, 0, 0, 0, 0, 1, 0, 5, 2, 0, 0, 296, 4, 77, 0, 5, 81, 0, 2, 0, 0, 3, 0, 3, 1, 537, 33, 0, 0, 4, 0, 5, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 1, 0, 0, 1, 423, 0, 0, 5, 0, 9, 0, 3, 0, 0, 2, 0, 0, 8, 0, 5, 0, 0, 121, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 16, 6, 0, 0, 0, 0, 0, 0, 0, 11, 4, 4, 0, 5, 0, 0, 0, 242, 280, 0, 0, 0, 0, 0, 0, 0, 7, 33, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 440, 0, 0, 0, 4, 0, 0, 3, 107, 7, 0, 0, 18, 12, 7, 92, 41, 0, 8, 0, 0, 63, 0, 0, 18, 0, 0, 12, 0, 22, 617, 0, 141, 16, 0, 0, 587, 0, 277, 0, 0, 0, 0, 0, 3, 8, 405, 0, 335, 0, 0, 0, 5, 0, 1, 68, 4, 0, 6, 0, 5, 0, 1, 17, 0, 0, 0, 0, 1, 2, 16, 0, 0, 16, 26, 2
10, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 0, 103, 0, 2, 679, 5, 0, 6, 0, 0, 0, 0, 0, 0, 20, 2, 74, 0, 1, 2, 10, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 373, 27, 0, 28, 631, 0, 2, 5, 0, 13, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 35, 0, 12, 0, 0, 0, 44, 0, 0, 0, 0, 1, 0, 2533, 0, 2, 1, 0, 6, 0, 0, 1, 0, 0, 5, 171, 0, 0, 0, 0, 268, 142, 2, 0, 0, 298, 0, 8, 75, 0, 122, 39, 0, 0, 0, 0, 1, 0, 70, 2, 0, 0, 102, 4, 73, 0, 5, 81, 0, 2, 0, 0, 362, 0, 3, 57, 510, 30, 0, 0, 28, 0, 4, 93, 0, 10, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 2, 0, 0, 3, 952, 0, 0, 5, 0, 137, 0, 5, 0, 0, 5, 0, 0, 8, 0, 5, 0, 0, 97, 2, 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 0, 6, 15, 0, 0, 0, 0, 0, 0, 0, 39, 4, 4, 0, 5, 0, 0, 0, 91, 426, 0, 0, 0, 0, 0, 0, 0, 7, 31, 2, 0, 0, 0, 1, 3, 22, 0, 0, 0, 1132, 0, 0, 0, 4, 0, 0, 6, 71, 7, 0, 0, 10, 4, 7, 117, 41, 0, 10, 0, 0, 52, 0, 0, 13, 0, 0, 16, 0, 118, 583, 0, 141, 5, 0, 0, 61, 0, 149, 0, 0, 0, 0, 0, 3, 7, 6, 0, 249, 0, 0, 0, 3, 0, 1, 68, 4, 0, 6, 0, 3, 0, 3, 17, 0, 0, 0, 0, 1, 2, 5, 0, 0, 6, 12, 2
