Hash, API1, API2, API3, API4, API5, API6, API7, API8, API9
331140170d953050de6624eea26038ca, 1, 1, 1, 0, 0, 0, 0, 0, 0
48504132467a74efc8823c6176d0c9a3, 1, 1, 0, 1, 0, 0, 0, 0, 0
601642122922dd4faef7742bcf6cbb35, 1, 1, 0, 0, 1, 0, 0, 0, 0
55584112304585f32b248416320e6c8f, 1, 1, 0, 0, 0, 1, 0, 0, 0
0f47192edacf216efc668d90765e37a0, 0, 0, 1, 1, 1, 0, 0, 0, 0
03d0375990ca83a01ac060594b594076, 0, 0, 1, 1, 0, 1, 0, 0, 0
0e2a4281ef4e58e55430589ab8eb5dda, 0, 0, 1, 1, 0, 0, 1, 0, 0
42332d0369806654e1be1f7627ce85d1, 0, 0, 0, 0, 1, 1, 1, 0, 0
0f50c848874d9e3d5ee4fbaaed458abe, 0, 0, 0, 0, 1, 1, 0, 1, 0
130557158560a08c77b3d7275b26edae, 0, 0, 0, 0, 1, 1, 0, 0, 1
