label, NtQueryAttributesFile, DnsQuery_W, sendto, SendNotifyMessageA, CreateServiceW, NtCreateThreadEx, CryptHashData, CryptExportKey, CopyFileW, NtReadVirtualMemory, CreateServiceA, bind, DnsQuery_A, ControlService, ObtainUserAgentString, NtQuerySystemInformation, GetFileVersionInfoExW, NtGetContextThread, GetFileVersionInfoSizeW, GetSystemDirectoryW, RtlDecompressBuffer, NtOpenKey, GlobalMemoryStatus, Process32FirstW, GetCursorPos, CreateThread, CreateDirectoryExW, getaddrinfo, HttpOpenRequestW, recvfrom, ShellExecuteExW, CWindow_AddTimeoutCode, GetSystemDirectoryA, NtTerminateProcess, LoadStringW, SendNotifyMessageW, Module32NextW, accept, CreateDirectoryW, GetAdaptersAddresses, NtDeviceIoControlFile, CreateActCtxW, HttpOpenRequestA, NtQueryFullAttributesFile, InternetReadFile, DeleteUrlCacheEntryA, NtWriteFile, LookupAccountSidW, SetFileInformationByHandle, NetShareEnum, CryptEncrypt, EnumServicesStatusA, CDocument_write, NtClose, NtCreateSection, GetSystemWindowsDirectoryA, DrawTextExW, LdrGetProcedureAddress, CryptProtectData, connect, SHGetFolderPathW, RtlAddVectoredContinueHandler, RegEnumValueA, NtDeleteKey, GetSystemWindowsDirectoryW, NtCreateKey, NetGetJoinInformation, __anomaly__, GetKeyboardState, InternetGetConnectedState, InternetSetOptionA, WSASendTo, DeleteFileW, GetFileAttributesW, GetFileVersionInfoSizeExW, RegEnumValueW, CopyFileA, InternetOpenUrlW, AssignProcessToJobObject, SetErrorMode, PRF, InternetCrackUrlA, GetBestInterfaceEx, InternetOpenA, SHGetSpecialFolderLocation, NtSetContextThread, RegQueryValueExW, OpenServiceW, GetNativeSystemInfo, GlobalMemoryStatusEx, SetStdHandle, getsockname, GetDiskFreeSpaceW, CryptUnprotectMemory, SetFilePointerEx, IWbemServices_ExecQuery, RegDeleteKeyA, WSAStartup, RegQueryValueExA, GetAddrInfoW, CertControlStore, InternetOpenUrlA, InternetOpenW, GetKeyState, SetFilePointer, RegDeleteKeyW, MoveFileWithProgressW, GetAsyncKeyState, DrawTextExA, CopyFileExW, GetVolumePathNamesForVolumeNameW, CoInitializeEx, GetUserNameExA, LoadStringA, NtMapViewOfSection, CreateProcessInternalW, NtDeleteValueKey, ReadCabinetState, NtLoadDriver, NtResumeThread, timeGetTime, LoadResource, NtEnumerateValueKey, ExitWindowsEx, GetUserNameExW, GetSystemTimeAsFileTime, CoCreateInstanceEx, Process32NextW, InternetCrackUrlW, NtProtectVirtualMemory, RegEnumKeyExW, NtShutdownSystem, GetAdaptersInfo, OpenServiceA, RtlCreateUserThread, LdrGetDllHandle, RtlDecompressFragment, SetFileTime, LdrLoadDll, GetSystemMetrics, CoCreateInstance, CryptCreateHash, NtLoadKey, NtUnmapViewOfSection, NtSuspendThread, LdrUnloadDll, RegEnumKeyExA, InternetCloseHandle, NtOpenSection, GetFileVersionInfoW, RegDeleteValueA, FindFirstFileExA, select, GetTempPathW, RtlCompressBuffer, NtOpenDirectoryObject, NtQueueApcThread, GetUserNameA, WriteConsoleW, UuidCreate, DeviceIoControl, InternetConnectW, RegSetValueExA, GetDiskFreeSpaceExW, RegCloseKey, WriteConsoleA, NtOpenThread, NtEnumerateKey, COleScript_Compile, RegEnumKeyW, DecryptMessage, EnumWindows, ioctlsocket, TaskDialog, NtOpenMutant, Math_random, InternetSetStatusCallback, RegDeleteValueW, FindWindowExA, ReadProcessMemory, CryptDecodeObjectEx, FindWindowExW, NtCreateFile, UnhookWindowsHookEx, InternetConnectA, Thread32First, GetFileType, IWbemServices_ExecMethod, LookupPrivilegeValueW, SetEndOfFile, GetComputerNameW, RtlRemoveVectoredContinueHandler, CoInitializeSecurity, CertOpenSystemStoreA, InternetWriteFile, setsockopt, NtDuplicateObject, CryptProtectMemory, MessageBoxTimeoutA, MessageBoxTimeoutW, CertCreateCertificateContext, NtQueryMultipleValueKey, NetUserGetLocalGroups, GetComputerNameA, NtOpenProcess, GetVolumeNameForVolumeMountPointW, gethostbyname, CElement_put_innerHTML, RegSetValueExW, NtSaveKey, SetInformationJobObject, CertOpenSystemStoreW, NtDelayExecution, NtOpenKeyEx, CryptDecrypt, RtlAddVectoredExceptionHandler, EncryptMessage, CryptGenKey, InternetQueryOptionA, ActiveXObjectFncObj_Construct, WSAConnect, GetSystemInfo, RegQueryInfoKeyA, SearchPathW, WriteProcessMemory, OpenSCManagerA, Thread32Next, RegCreateKeyExW, SetFileAttributesW, CoGetClassObject, NtWriteVirtualMemory, listen, WSASocketA, RegOpenKeyExW, RemoveDirectoryW, FindWindowA, WSASend, GetShortPathNameW, InternetGetConnectedStateExW, WSASocketW, NtQueryInformationFile, CoUninitialize, RegQueryInfoKeyW, CryptAcquireContextA, CreateJobObjectW, GetFileSize, IsDebuggerPresent, GetFileAttributesExW, NtQueryDirectoryFile, CreateToolhelp32Snapshot, InternetGetConnectedStateExA, NtCreateMutant, CertOpenStore, URLDownloadToFileW, __exception__, NetUserGetInfo, NtSetInformationFile, GetFileSizeEx, OpenSCManagerW, SetWindowsHookExA, NtSetValueKey, RtlRemoveVectoredExceptionHandler, NtReadFile, GetForegroundWindow, send, RegOpenKeyExA, shutdown, EnumServicesStatusW, FindResourceExA, NtQueryValueKey, StartServiceW, NtFreeVirtualMemory, DeleteService, CreateRemoteThread, NtTerminateThread, HttpSendRequestA, GetVolumePathNameW, SizeofResource, NtOpenFile, NtQueryKey, OutputDebugStringA, NtAllocateVirtualMemory, HttpSendRequestW, HttpQueryInfoA, recv, FindResourceW, DeleteUrlCacheEntryW, GetFileInformationByHandle, FindResourceExW, SetWindowsHookExW, WSARecvFrom, Module32FirstW, OleInitialize, RegCreateKeyExA, RemoveDirectoryA, FindWindowW, FindFirstFileExW, StartServiceA, GetTimeZoneInformation, SetUnhandledExceptionFilter, WSARecv, CryptAcquireContextW, GetUserNameW, closesocket, NtDeleteFile, RegisterHotKey, socket, GetFileInformationByHandleEx, FindResourceA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65536, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 2, 4, 0, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 65, 0, 0, 0, 1, 0, 23, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 65, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 45, 0, 1, 84, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 393, 1, 0, 12, 5, 0, 0, 8, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 1, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 345, 1, 2, 0, 0, 0, 0, 0, 96, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 122, 0, 21, 0, 27, 0, 0, 0, 0, 0, 3, 0, 0, 10, 552, 22, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 423, 0, 0, 0, 0, 9, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 284, 267, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 439, 0, 4, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 1, 4, 57, 1, 0, 2, 0, 0, 6, 0, 0, 15, 0, 0, 16, 0, 15, 578, 0, 2, 0, 0, 0, 522, 0, 3, 0, 1, 0, 0, 0, 0, 0, 378, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 194
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 4, 0, 1, 54, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 0, 10, 42, 0, 0, 8, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 371, 1, 1, 0, 0, 0, 0, 0, 92, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 22, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 7, 3, 11, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 9, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 23, 155, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 4, 54, 1, 0, 1, 0, 0, 8, 0, 0, 15, 0, 0, 12, 0, 1, 602, 0, 1, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 214, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 770
6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 28, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 13, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 131, 2, 0, 0, 268, 0, 0, 1, 0, 19, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 26, 0, 0, 33, 0, 5, 0, 0, 1, 0, 9, 20, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 9, 0, 31, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 0, 2, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 112, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 1, 1, 0, 4, 0, 0, 0, 72, 0, 7, 0, 0, 0, 1, 0, 0, 0, 63, 1, 33, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 26, 0, 0, 0, 0, 7, 0, 0, 26, 17, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 39, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 2, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 21, 25, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
9, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 74, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 0, 3, 22, 0, 0, 0, 2, 2, 13, 2, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 976, 7, 0, 47, 338, 0, 0, 3, 0, 10, 0, 9, 7, 0, 0, 0, 0, 0, 0, 2, 7, 0, 2, 0, 0, 0, 22, 0, 0, 0, 2, 0, 0, 90, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 19, 0, 0, 13, 1, 0, 0, 0, 1, 0, 7, 9, 0, 0, 87, 2, 0, 0, 3, 26, 0, 0, 0, 0, 40, 0, 0, 47, 985, 13, 0, 0, 7, 0, 11, 10, 3, 15, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 7, 0, 21, 0, 2, 8, 0, 111, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 2, 0, 61, 0, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 16, 5, 0, 0, 2, 0, 0, 0, 1, 1113, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 17, 1, 1, 0, 0, 6, 4, 105, 0, 0, 5, 0, 0, 0, 0, 0, 13, 0, 0, 6, 0, 14, 1, 0, 3, 0, 0, 0, 2432, 0, 6, 0, 0, 0, 1, 0, 0, 2, 743, 0, 83, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 1, 2, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 0
